Harry Potter,00,01,02,03,04,05,06,07,08,09
Person,Harry Potter,Ron Weasley,Hermine Granger,Dumbledore,Rubeus Hagrid,Remus Lupin,Dobby,Dudley Dursley,Severus Snape,Lord Voldemort
Action,Fliegen,Kotzen,Lesen,Pfeifen,Kümmern,Heulen,Schweben,Wachsen,Hängen,Avada Kedavra
Object,Feuerblitz,Schnecken,Buch,Süßigkeiten,Einhorn,Werwolf,Torte,Schweineschwanz,Baum,Zauberstab
Serien,10,11,12,13,14,15,16,17,18,19
Person,Rick Grimes,Michonne,Negan,Walter White,Gus Fring,Jon Schnee,Daenerys,Hannibal Lecter,Hobbit,Baldrick
Action,Schießen,Rasieren,Zertrümmern,Husten,Explodieren,Erdolchen,Reiten,Essen,Verstecken,Schnitzen
Object,Revolver,Katana,Baseballschläger,Meth,Rollstuhl,Herz,Drache,Lunge,Ring,Patrone
Star Wars,20,21,22,23,24,25,26,27,28,29
Person,Luke Skywalker,Prinzessin Leia,Han Solo,Chewbacca,Obi-Wan Kenobi,Yoda,Jar Jar Bings,Jabba the Hutt,Darth Vader,Palpatine
Action,Zerschneiden,Kämmen,Hervorziehen,Umarmen,Springen,Zittern,Stolpern,Anketten,Verbrennen,Foltern
Object,Lichtschwert,Haare,Blaster,Armbrust,Mantel,Gehstock,Ohren,Nackte Frau,Lava,Blitze
Berufe,30,31,32,33,34,35,36,37,38,39
Person,Polizist,Feuerwehrmann,Chirurg,Soldat,Koch,Chemiker,Taucher,Jäger,Schmied,Prostituierte
Action,Verhaften,Löschen,Aufschneiden,Robben,Kochen,Mischen,Ertrinken,Anschleichen,Schlagen,Ausziehen
Object,Handschellen,Lagerfeuer,Skalpell,Panzer,Suppe,Chemikalien,Sauerstoffflasche,Reh,Amboss,Latexanzug
Historisch,40,41,42,43,44,45,46,47,48,49
Person,Caesar,Jesus,Da Vinci,Beethoven,Goethe,Churchill,Hitler,Stalin,Einstein,Michael Jackson
Action,Würfeln,Predigen,Malen,Dirigieren,Schreiben,Rauchen,Hetzen,Verschleppen,Unterrichten,Moonwalking
Object,Lorbeerkranz,Wein,Mona Lisa,Hörtrichter,Füller,Zigarre,Hakenkreuzbinde,Zug,Tafel,Weiße Handschuhe
Prominente,50,51,52,53,54,55,56,57,58,59
Person,Elon Musk,Joe Rogan,Eminem,Bear Grylls,Mr. Bean,Queen,Heidi Klum,Jimmy Kimmel,Johnny Depp,Will Smith
Action,Bauen,Interviewen,Rappen,Brechen,Hineinstecken,Applaudieren,Fotografieren,Weinen,Schwingen,Ohrfeigen
Object,Rakete,Whisky,Mikrofon,Fallschirm,Truthahn,Handtasche,Kamera,Anzug,Kompass,Blitzdings
Freunde,60,61,62,63,64,65,66,67,68,69
Person,Lea,Florian,Julian Müller,Adrian,Timo,Julian Sommer,Marius,Hannah,Dominik,Thomas
Action,Streicheln,Fangen,Pusten,Putzen,Drehen,Head Banging,Beten,Pirouetten,Spielen,Drücken
Object,Hund,Baseball,Posaune,Fahrrad,Zauberwürfel,E-Gitarre,Geige,Schlittschuhe,Karten,Keyboard
Familie,70,71,72,73,74,75,76,77,78,79
Person,Annika,André,Simon,Marcel,Alessio,Karin,Roland,Zuzanna,Robert,Uschi
Action,Meditieren,Rutschen,Trommeln,Zocken,Jonglieren,Segeln,Jubeln,Schminken,Schieben,Stricken
Object,Yogamatte,Ski,Schlagzeug,Laptop,Bälle,Katamaran,Kicker,Lippenstift,Schubkarre,Socke
Politiker,80,81,82,83,84,85,86,87,88,89
Person,Söder,Merkel,Lauterbach,Baerbock,Gauland,Selensky,Johnson,Trump,Putin,Kim Jong Un
Action,Saufen,Küssen,Impfen,Grillen,Schlafen,Verteidigen,Defäkieren,Urinieren,Festhalten,Salutieren
Object,Bierkrug,Papagei,Spritze,Vegane Wurst,Dackel Krawatte,Helm,Tee,Toilette,Tisch,Atombombe
Sportler,90,91,92,93,94,95,96,97,98,99
Person,Hamilton,Schweinsteiger,Adam Ondra,Magnus Carlsen,Schwarzenegger,Usain Bolt,Tom Brady,Steph Curry,Bautista,John Cena
Action,Fahren,Treten,Klettern,Analysieren,Stemmen,Sprinten,Tackeln,Dunken,Schlägern,Wrestlen
Object,Rennauto,Tor,Seil,Schachbrett,Gewichte,Spikes,Football,Basketballkorb,Sonnenbrille,Gürtel
